unit,cycle,op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_1_rolling_mean,sensor_1_rolling_std,sensor_2_rolling_mean,sensor_2_rolling_std,sensor_3_rolling_mean,sensor_3_rolling_std,sensor_4_rolling_mean,sensor_4_rolling_std,sensor_5_rolling_mean,sensor_5_rolling_std,sensor_6_rolling_mean,sensor_6_rolling_std,sensor_7_rolling_mean,sensor_7_rolling_std,sensor_8_rolling_mean,sensor_8_rolling_std,RUL
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.7,1400.6,14.62,21.61,554.36,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.0,39.06,23.419,518.67,0.0,641.82,0.0,1589.7,0.0,1400.6,0.0,14.62,0.0,21.61,0.0,554.36,0.0,2388.06,0.0,191
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.0,39.0,23.4236,518.67,0.0,641.985,0.23334523779150923,1590.76,1.4990663761154035,1401.87,1.7960512242140463,14.62,0.0,21.61,0.0,554.0550000000001,0.4313351365238438,2388.05,0.014142135623878865,190
1,3,-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.2,14.62,21.61,554.26,2388.08,9052.94,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100.0,38.95,23.3442,518.67,0.0,642.1066666666667,0.2676440422152594,1589.8366666666668,1.9186540421173066,1402.6466666666668,1.8500090089872667,14.62,0.0,21.61,0.0,554.1233333333333,0.32715949219508944,2388.06,0.01999999999998181,189
1,4,0.0007,0.0,100.0,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.0,38.88,23.3739,518.67,0.0,642.2833333333333,0.11547005383795961,1587.5333333333335,4.5322878696450655,1403.07,1.1665761869680262,14.62,0.0,21.61,0.0,554.1533333333333,0.36198526673521914,2388.076666666667,0.035118845842864475,188
1,5,-0.0019,-0.0002,100.0,518.67,642.37,1582.85,1406.22,14.62,21.61,554.0,2388.06,9055.15,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100.0,38.9,23.4044,518.67,0.0,642.3566666666667,0.011547005384438395,1584.5433333333333,2.9850516466771744,1404.0966666666666,2.1768402176858417,14.62,0.0,21.61,0.0,554.2366666666667,0.22590558499819383,2388.0833333333335,0.025166114784197887,187
1,6,-0.0043,-0.0001,100.0,518.67,642.1,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100.0,38.98,23.3669,518.67,0.0,642.2733333333334,0.15044378795195534,1583.3700000000001,0.9531002045933238,1402.1533333333334,3.932662372151257,14.62,0.0,21.61,0.0,554.3733333333333,0.34151622704251994,2388.0633333333335,0.04509249752828037,186
1,7,0.001,0.0001,100.0,518.67,642.48,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100.0,39.1,23.3774,518.67,0.0,642.3166666666667,0.1955334583475293,1586.5466666666669,5.0650403091514855,1400.7866666666666,4.714958465706153,14.62,0.0,21.61,0.0,554.3366666666667,0.3350124375800922,2388.0333333333333,0.023094010767629663,185
1,8,-0.0034,0.0003,100.0,518.67,642.56,1582.96,1400.97,14.62,21.61,553.85,2388.0,9040.8,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100.0,38.97,23.3106,518.67,0.0,642.38,0.24576411454888925,1586.5833333333333,5.025140130715631,1399.0366666666666,1.7009801096232149,14.62,0.0,21.61,0.0,554.2866666666667,0.41259342376408004,2388.013333333334,0.011547005383913287,184
1,9,0.0008,0.0001,100.0,518.67,642.12,1590.98,1394.8,14.62,21.61,553.69,2388.05,9046.46,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100.0,39.05,23.4066,518.67,0.0,642.3866666666667,0.23437861108330316,1588.7533333333333,5.061712490188397,1397.8466666666666,3.085714395943599,14.62,0.0,21.61,0.0,553.96,0.3386738844377185,2388.023333333333,0.025166114784288235,183
1,10,-0.0033,0.0001,100.0,518.67,641.71,1591.24,1400.46,14.62,21.61,553.59,2388.05,9051.7,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100.0,38.95,23.4694,518.67,0.0,642.13,0.42508822613659925,1588.3933333333334,4.707200158621825,1398.7433333333336,3.424534031563148,14.62,0.0,21.61,0.0,553.71,0.13114877048688559,2388.0333333333333,0.02886751345939596,182
1,11,0.0018,-0.0003,100.0,518.67,642.28,1581.75,1400.64,14.62,21.61,554.54,2388.05,9049.61,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,2388,100.0,38.94,23.4787,518.67,0.0,642.0366666666667,0.2939954648175991,1587.99,5.405561950435491,1398.6333333333332,3.32098378998364,14.62,0.0,21.61,0.0,553.94,0.5220153254456055,2388.05,0.0,181
1,12,0.0016,0.0002,100.0,518.67,642.06,1583.41,1400.15,14.62,21.61,554.52,2388.09,9049.37,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391,2388,100.0,39.06,23.366,518.67,0.0,642.0166666666668,0.28746014216463583,1585.4666666666665,5.068277156325293,1400.4166666666667,0.24785748593628615,14.62,0.0,21.61,0.0,554.2166666666667,0.5428013755816049,2388.0633333333335,0.023094010767564028,180
1,13,-0.0019,0.0004,100.0,518.67,643.07,1582.19,1400.83,14.62,21.61,553.44,2388.12,9046.82,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393,2388,100.0,38.93,23.2757,518.67,0.0,642.47,0.5311308689957396,1582.45,0.8599999999972692,1400.54,0.35085609585893945,14.62,0.0,21.61,0.0,554.1666666666666,0.6293912402737295,2388.0866666666666,0.03511884584275657,179
1,14,0.0009,-0.0,100.0,518.67,642.35,1592.95,1399.16,14.62,21.61,554.48,2388.09,9047.37,1.3,47.44,521.67,2388.0,8134.43,8.3964,0.03,393,2388,100.0,39.18,23.3826,518.67,0.0,642.4933333333333,0.5200320502944958,1586.1833333333334,5.891768268807592,1400.0466666666669,0.8397817176708412,14.62,0.0,21.61,0.0,554.1466666666666,0.6123180001709357,2388.1000000000004,0.01732050807591369,178
1,15,-0.0018,-0.0003,100.0,518.67,642.43,1583.82,1402.13,14.62,21.61,553.64,2388.11,9052.22,1.3,47.3,522.5,2388.08,8127.56,8.4199,0.03,391,2388,100.0,38.99,23.35,518.67,0.0,642.6166666666667,0.39463062898553986,1586.32,5.799301682098916,1400.7066666666667,1.4888362345587796,14.62,0.0,21.61,0.0,553.8533333333334,0.5518453889754839,2388.106666666667,0.015275252316976934,177
1,16,0.0006,0.0005,100.0,518.67,642.13,1587.98,1404.5,14.62,21.61,553.94,2388.05,9049.34,1.3,47.24,521.49,2388.07,8136.11,8.3936,0.03,392,2388,100.0,38.97,23.455,518.67,0.0,642.3033333333333,0.15534906930333744,1588.25,4.570984576652465,1401.93,2.675612079506881,14.62,0.0,21.61,0.0,554.02,0.42567593307600565,2388.0833333333335,0.030550504633184806,176
1,17,0.0002,0.0002,100.0,518.67,642.58,1584.96,1399.95,14.62,21.61,553.8,2388.06,9054.92,1.3,47.12,521.89,2388.04,8137.27,8.4542,0.03,392,2388,100.0,38.81,23.3319,518.67,0.0,642.38,0.22912878474798792,1585.5866666666668,2.149635628037801,1402.1933333333334,2.2756610761132525,14.62,0.0,21.61,0.0,553.7933333333333,0.15011106998994586,2388.0733333333333,0.0321455025367672,175
1,18,-0.0031,-0.0001,100.0,518.67,642.62,1591.04,1396.12,14.62,21.61,554.2,2388.05,9049.55,1.3,47.21,521.76,2388.07,8132.73,8.4028,0.03,392,2388,100.0,38.89,23.3987,518.67,0.0,642.4433333333333,0.2720906711620579,1587.9933333333336,3.040021929744561,1400.1899999999998,4.195151963874713,14.62,0.0,21.61,0.0,553.98,0.20297783130221536,2388.0533333333333,0.0057735026915628285,174
1,19,0.0032,-0.0003,100.0,518.67,641.79,1587.56,1400.35,14.62,21.61,554.18,2388.04,9053.99,1.3,47.4,521.89,2388.03,8129.13,8.4321,0.03,391,2388,100.0,38.8,23.3464,518.67,0.0,642.3299999999999,0.4680811895388753,1587.8533333333332,3.0505955702662404,1398.8066666666666,2.335301550835241,14.62,0.0,21.61,0.0,554.06,0.22538855339193278,2388.0499999999997,0.009999999999744588,173
1,20,-0.0037,0.0001,100.0,518.67,643.04,1581.11,1405.23,14.62,21.61,554.81,2388.05,9045.9,1.3,47.22,522.07,2388.02,8129.71,8.421,0.03,392,2388,100.0,39.03,23.422,518.67,0.0,642.4833333333332,0.6361079572945294,1586.5699999999997,5.038481914227451,1400.5666666666666,4.558863162383388,14.62,0.0,21.61,0.0,554.3966666666666,0.35809682117160085,2388.046666666667,0.005773502691300281,172
1,21,-0.0012,0.0001,100.0,518.67,642.37,1586.07,1398.13,14.62,21.61,554.08,2388.11,9048.15,1.3,47.15,522.42,2388.08,8134.02,8.4049,0.03,392,2388,100.0,39.09,23.3101,518.67,0.0,642.4,0.6255397669214025,1584.9133333333332,3.3769858355243993,1401.2366666666667,3.6320976492016848,14.62,0.0,21.61,0.0,554.3566666666667,0.395769293065084,2388.0666666666666,0.03785938897199742,171
1,22,0.0002,0.0,100.0,518.67,642.77,1592.93,1400.57,14.62,21.61,553.63,2388.04,9061.21,1.3,47.24,522.0,2388.03,8130.41,8.4034,0.03,392,2388,100.0,38.92,23.3792,518.67,0.0,642.7266666666666,0.33709543653604135,1586.7033333333336,5.935396644987621,1401.3100000000002,3.6073813216796315,14.62,0.0,21.61,0.0,554.1733333333333,0.5955109850652537,2388.0666666666666,0.03785938897199742,170
1,23,0.0034,-0.0003,100.0,518.67,642.14,1588.19,1394.75,14.62,21.61,553.98,2388.05,9046.28,1.3,47.25,521.52,2388.05,8127.9,8.424,0.03,392,2388,100.0,38.94,23.4562,518.67,0.0,642.4266666666666,0.31879983270602963,1589.0633333333335,3.512397092204372,1397.8166666666666,2.922624391421338,14.62,0.0,21.61,0.0,553.8966666666666,0.2362907813133783,2388.0666666666666,0.03785938897199742,169
1,24,-0.001,0.0003,100.0,518.67,642.38,1590.83,1398.81,14.62,21.61,553.49,2388.12,9043.76,1.3,47.44,522.13,2388.03,8133.88,8.3891,0.03,392,2388,100.0,39.0,23.3696,518.67,0.0,642.43,0.31796226191178745,1590.6500000000003,2.3751210495444877,1398.0433333333333,2.984783632582302,14.62,0.0,21.61,0.0,553.6999999999999,0.2523885892835662,2388.07,0.043588989435149744,168
1,25,0.0023,-0.0004,100.0,518.67,642.77,1594.1,1399.39,14.62,21.61,554.0,2388.02,9054.16,1.3,47.36,522.56,2388.02,8136.61,8.3917,0.03,393,2388,100.0,38.95,23.4288,518.67,0.0,642.43,0.31796226191178745,1591.04,2.9605911571827153,1397.6500000000003,2.5281613872531055,14.62,0.0,21.61,0.0,553.8233333333333,0.28884828774589977,2388.0633333333335,0.05131601439426709,167
